isqno,postype,post1,post2,front,depth,time,aeroa,surpa,cea,leada,trnga,morala,logsa,momnta,intela,techa,inita,wina,kmda,crit,quala,resa,mobila,aira,fprepa,wxa,terra,leadaa,plana,surpaa,mana,logsaa,fortsa,deepa,duration1,wofa,wofd,terra1,terra2,terra3,wx1,wx2,wx3,wx4,wx5,attacker_str,attacker_instst,attacker_rerp,attacker_cas,attacker_finst,attacker_cav,attacker_tank,attacker_lt,attacker_mbt,attacker_arty,attacker_fly,attacker_ctank,attacker_carty,cfly_x,attacker_pri1,attacker_pri2,attacker_pri3,attacker_sec1,attacker_sec2,attacker_sec3,attacker_reso1,attacker_reso2,attacker_reso3,attacker_ach,defender_str,defender_instst,defender_rerp,defender_cas,defender_finst,defender_cav,defender_tank,defender_lt,defender_mbt,defender_arty,defender_fly,defender_ctank,defender_carty,cfly_y,defender_pri1,defender_pri2,defender_pri3,defender_sec1,defender_sec2,defender_sec3,defender_reso1,defender_reso2,defender_reso3,defender_ach,att_comm1,att_comm2,def_comm1,def_comm2,def_comm3
354,0,FD,,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.4,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,1.0,0.8,0.8,R,M,,D,O,T,S,T,5039.0,5039.0,0.0,448.0,4591.0,0.0,8.0,0.0,8.0,29.0,,5.0,,,FF,,,,,,PP,,,7,2663.0,2663.0,0.0,1243.0,1420.0,0.0,0.0,0.0,0.0,48.0,,0.0,,,DD,,,,,0,WL,,,3,COL BABCOCK,Missing,COL CARL,Missing,Missing
355,0,FD,,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,,1.0,0.3,0.3,R,M,,D,O,T,S,T,1150.0,1150.0,0.0,120.0,1030.0,0.0,5.0,0.0,5.0,0.0,,0.0,0.0,,FF,,,,,,PP,,,8,400.0,400.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,DD,,,,,0,AA,,,2,MAJ HUEBNER,Missing,LG KNEUSSL,Missing,Missing
356,0,FD,,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.3,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,1.0,1.3,1.3,R,M,,D,O,T,S,T,4480.0,4480.0,0.0,125.0,4355.0,0.0,12.0,12.0,0.0,36.0,,,,,FF,,,,,,PP,,,8,565.0,565.0,0.0,181.0,384.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,DD,,,,,0,WL,,,2,MAJ WADDILL,Missing,CPT STOCKMAR,Missing,Missing
357,0,FD,,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,1,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,1.0,1.5,1.5,R,M,,D,O,T,S,T,10345.0,10345.0,0.0,895.0,9450.0,0.0,30.0,0.0,30.0,58.0,,,,,FF,,,,,,PP,,,8,2420.0,2420.0,0.0,1610.0,810.0,0.0,0.0,0.0,0.0,30.0,,0.0,,,DD,,,,,0,WL,,,2,BG HINES,Missing,COL STENGEL,Missing,Missing
358,0,FD,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.5,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,1.0,0.6,0.6,R,M,,D,O,T,S,T,1611.0,1611.0,0.0,130.0,1481.0,0.0,0.0,0.0,0.0,14.0,,0.0,,,FF,,,,,,PP,,,8,800.0,800.0,0.0,500.0,300.0,0.0,0.0,0.0,0.0,24.0,,0.0,,,DD,,,,,0,WL,,,2,COL PARKER,Missing,COL BUCHHOLTZ,Missing,Missing
359,1,FD,DL,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,26.0,2,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,2.0,128.0,128.0,R,M,,D,S,T,S,T,725000.0,,,195000.0,530000.0,0.0,350.0,,,7000.0,,,,,FF,,,,,,PP,,,7,400000.0,,,170000.0,230000.0,0.0,,,,3700.0,,,500.0,,DD,,,,,0,WD,,,6,GEN FOCH,Missing,CR PR WILHELM,Missing,Missing
360,0,FD,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,3.5,1,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,1.0,R,M,,W,L,T,S,T,4000.0,4000.0,0.0,210.0,3790.0,0.0,,,,36.0,,,,,FF,,,,,,PP,,,8,350.0,350.0,0.0,116.0,234.0,0.0,,,,11.0,,,6.0,,DD,,,,,0,WL,,,2,GEN SUMMERALL,Missing,BARON VON TOLL,Missing,Missing
361,0,FD,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,1.5,1,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,2.0,1.0,1.0,R,M,,W,L,T,S,T,5300.0,5300.0,0.0,350.0,4950.0,0.0,,,,36.0,,,,,FF,,,,,,PP,,,8,554.0,554.0,0.0,276.0,278.0,0.0,,,,6.0,,,6.0,,DD,,,,,0,WL,,,2,GEN SUMMERALL,Missing,COL OTTO,Missing,Missing
362,0,FD,,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,18.0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,2.0,70.0,70.0,R,M,,W,L,T,S,T,225000.0,,,10000.0,,0.0,462.0,96.0,366.0,2000.0,,,,,FF,,,,,,BB,,,9,170000.0,,,30000.0,,0.0,,,,1500.0,,,400.0,,DD,,,,,0,WL,,,3,FM HAIG,Missing,CR PR RUPPRECHT,Missing,Missing
363,0,FD,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,61.5,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,2.0,150.0,150.0,R,M,,D,S,T,S,T,300000.0,,,35000.0,,0.0,,,,,,,,,FF,,,,,,PP,,,9,200000.0,,,80000.0,,0.0,,,,,,,100.0,,DD,,,,,0,WD,,,5,FM HAIG,Missing,CR PR RUPPRECHT,Missing,Missing
364,1,FD,DL,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,22.5,1,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,2.0,72.0,72.0,R,M,,W,O,T,F,T,400000.0,,,7000.0,393000.0,0.0,267.0,267.0,0.0,3010.0,800.0,,,,EE,LF,,EE,RF,FE,PP,PS,,8,100000.0,,,20000.0,80000.0,0.0,0.0,0.0,0.0,1000.0,,,,,DD,,,,,0,WL,,,5,GEN PERSHING,Missing,GEN FUCHS,Missing,Missing
365,2,FD,DL,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,8.5,1,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,,1.0,1.2,1.2,R,M,,W,H,T,F,T,13208.0,13208.0,0.0,185.0,13023.0,0.0,0.0,0.0,0.0,76.0,,0.0,,,FF,,,,,,BB,PS,,8,2090.0,2090.0,0.0,1076.0,1014.0,0.0,0.0,0.0,0.0,10.0,,0.0,,,DD,,,,,0,WL,,,2,BG BAMFORD,Missing,CPT GERLACH,Missing,Missing
366,0,FD,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,15.2,1,,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,,,2.0,53.0,53.0,G,W,,D,O,T,F,T,300000.0,300000.0,,22128.0,,0.0,189.0,189.0,0.0,2700.0,821.0,,,,FF,,,,,,PP,SS,,7,190000.0,190000.0,,21448.0,,0.0,,,,,,,200.0,,DD,,,,,0,SS,,,4,GEN PERSHING,Missing,GEN EINEM,Missing,Missing
