isqno,postype,post1,post2,front,depth,time,aeroa,surpa,cea,leada,trnga,morala,logsa,momnta,intela,techa,inita,wina,kmda,crit,quala,resa,mobila,aira,fprepa,wxa,terra,leadaa,plana,surpaa,mana,logsaa,fortsa,deepa,duration1,wofa,wofd,terra1,terra2,terra3,wx1,wx2,wx3,wx4,wx5,attacker_str,attacker_instst,attacker_rerp,attacker_cas,attacker_finst,attacker_cav,attacker_tank,attacker_lt,attacker_mbt,attacker_arty,attacker_fly,attacker_ctank,attacker_carty,cfly_x,attacker_pri1,attacker_pri2,attacker_pri3,attacker_sec1,attacker_sec2,attacker_sec3,attacker_reso1,attacker_reso2,attacker_reso3,attacker_ach,defender_str,defender_instst,defender_rerp,defender_cas,defender_finst,defender_cav,defender_tank,defender_lt,defender_mbt,defender_arty,defender_fly,defender_ctank,defender_carty,cfly_y,defender_pri1,defender_pri2,defender_pri3,defender_sec1,defender_sec2,defender_sec3,defender_reso1,defender_reso2,defender_reso3,defender_ach,att_comm1,att_comm2,def_comm1,def_comm2,def_comm3
1,0,HD,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,1,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9,0.9,R,B,D,D,S,T,S,T,11500.0,11500.0,0.0,4000.0,7500.0,1500.0,0.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,FF,,,,,,RR,WD,,3,11300.0,11300.0,0.0,1000.0,10300.0,1400.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,DO,FF,,,,0,,,,8,ALBERT OF AUSTRIA,Missing,MAURICE OF NASSAU,Missing,Missing
2,1,HD,PD,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.5,1.5,R,M,,D,S,T,W,T,40000.0,40000.0,0.0,400.0,39600.0,7500.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,FF,,,,,,BB,PS,,8,21000.0,21000.0,0.0,5000.0,16000.0,11000.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,DO,FF,,,,0,RR,WL,,2,BUCQUOI,Missing,CHRISTIAN OF ANHALT-BERNBERG,Missing,Missing
3,0,HD,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4375,3.7,2.8,R,M,,D,S,H,$,T,20000.0,20000.0,0.0,5000.0,15000.0,4000.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,FF,,,,,,BB,PS,,7,20000.0,20000.0,0.0,5800.0,14200.0,4000.0,0.0,0.0,0.0,40.0,0.0,0.0,20.0,0.0,DD,,,,,0,WL,,,3,TILLY,CORDOVA,BADEN-DURLACH,Missing,Missing
4,0,PD,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,1,0.0,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,2.0,,,R,M,,D,S,T,$,T,8500.0,8500.0,0.0,3000.0,5500.0,2500.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,0.0,FF,,,,,,WL,,,3,16000.0,16000.0,0.0,1000.0,15000.0,10000.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,DO,DE,,,,0,BB,PS,,9,MANSFIELD,Missing,WALLENSTEIN,Missing,Missing
5,0,HD,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,R,M,,D,S,T,S,T,17000.0,17000.0,0.0,2000.0,15000.0,7000.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,FF,,,,,,BB,PS,,7,20000.0,20000.0,0.0,7000.0,13000.0,10000.0,0.0,0.0,0.0,22.0,0.0,0.0,22.0,0.0,DO,,,,,0,WL,,,3,TILLY,Missing,CHRISTIAN IV,Missing,Missing
6,0,HD,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.2,3.6,R,M,,D,S,T,F,T,32000.0,32000.0,0.0,13600.0,18400.0,11000.0,0.0,0.0,0.0,26.0,0.0,0.0,26.0,0.0,FF,EE,LF,,,,PP,RR,WL,4,37850.0,37850.0,0.0,6100.0,31750.0,12850.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,DO,EE,LR,,,0,BB,,,9,TILLY,Missing,GUSTAVUS ADOLPHUS,Missing,Missing
7,0,PD,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.2,1,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,,0.0,2.0,8.0,21.0,R,M,,D,S,T,$,T,33000.0,33000.0,0.0,1000.0,32000.0,,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,FF,,,,,,SS,,,9,27000.0,27000.0,0.0,3000.0,24000.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,DO,FF,,,,0,WD,,,3,GUSTAVUS ADOLPHUS,Missing,TILLY,Missing,Missing
8,0,PD,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,2.3,2.7,G,M,,W,L,T,F,T,46000.0,46000.0,0.0,4000.0,42000.0,16000.0,0.0,0.0,0.0,,0.0,0.0,,0.0,FF,,,,,,RR,WD,,4,60000.0,60000.0,0.0,2000.0,58000.0,13000.0,0.0,0.0,0.0,,0.0,0.0,,0.0,DO,FF,,,,0,RR,SS,,8,GUSTAVUS ADOLPHUS,Missing,WALLENSTEIN,Missing,Missing
9,0,HD,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.5,1,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.4,4.8,R,M,,D,S,T,F,T,18996.0,18996.0,0.0,4000.0,14996.0,6210.0,0.0,0.0,0.0,60.0,0.0,0.0,,0.0,FF,,,,,,PP,,,9,21770.0,16770.0,5000.0,5000.0,16770.0,9200.0,0.0,0.0,0.0,25.0,0.0,0.0,,0.0,DO,FF,,EE,RR,0,RR,WD,,5,GUSTAVUS ADOLPHUS,Missing,WALLENSTEIN,Missing,Missing
10,0,PD,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.0,1.0,2.8,5.6,R,M,,D,S,T,F,T,25000.0,25000.0,0.0,12000.0,13000.0,10000.0,0.0,0.0,0.0,80.0,0.0,0.0,80.0,0.0,EE,RF,,FE,LF,,RR,WL,,3,35000.0,35000.0,0.0,2000.0,33000.0,15000.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,DO,,,,,0,PS,WD,,9,SAXE-WEIMAR,HORN,CARDINAL-INFANTE,FERDINAND,Missing
11,0,PD,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,0.0,0.0,,0.0,2.0,4.4,3.0,R,M,,D,S,T,F,T,22000.0,22000.0,0.0,7000.0,15000.0,12000.0,0.0,0.0,0.0,,0.0,0.0,,0.0,EE,RF,,FF,,,BB,PS,,9,30000.0,30000.0,0.0,18000.0,12000.0,14000.0,0.0,0.0,0.0,42.0,0.0,0.0,42.0,0.0,DO,FF,,,,0,AA,,,3,BANER,Missing,HATZFELD,JOHN GEORGE,Missing
12,0,HD,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.5,3.5,R,M,,D,S,T,F,T,25000.0,25000.0,0.0,5000.0,20000.0,10000.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,EE,LF,,FF,,,BB,PS,,9,30000.0,30000.0,0.0,15000.0,15000.0,8000.0,0.0,0.0,0.0,46.0,0.0,0.0,46.0,0.0,DO,EE,RF,,,0,WL,,,3,TORTENSSON,Missing,LEOPOLD WILLIAM,Missing,Missing
13,0,HD,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.4,1.8,R,M,,D,S,T,$,T,23000.0,23000.0,0.0,4000.0,19000.0,7000.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,EE,LF,,FF,,,BB,PS,,8,26000.0,26000.0,0.0,14000.0,12000.0,7000.0,0.0,0.0,0.0,18.0,0.0,0.0,18.0,0.0,DO,FF,,,,0,AA,,,3,ENGHIEN,Missing,MELLO,Missing,Missing
14,0,HD,,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,R,M,,D,S,T,F,T,22000.0,22000.0,0.0,1000.0,21000.0,5000.0,0.0,0.0,0.0,,0.0,0.0,,0.0,FF,,,EE,,,BB,PS,,9,18000.0,18000.0,0.0,7000.0,11000.0,8000.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,DD,,,,,0,WL,,,2,MERCY,Missing,RANTZAU,Missing,Missing
15,0,PD,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,9.0,1,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,,,7.29166666666667,6.4,6.4,G,M,,D,S,T,S,T,19000.0,19000.0,0.0,8000.0,11000.0,8000.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,FF,,,EE,LF,,PP,PS,,7,16000.0,16000.0,0.0,4000.0,12000.0,8000.0,0.0,0.0,0.0,28.0,0.0,0.0,28.0,0.0,DD,,,,,0,WD,,,6,CONDE,TURENNE,MERCY,Missing,Missing
16,0,HD,,0.0,0.0,0.0,0.0,3.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,1,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,3.1,3.1,G,M,,D,S,T,$,T,15000.0,15000.0,0.0,8500.0,6500.0,10000.0,0.0,0.0,0.0,26.0,0.0,0.0,26.0,0.0,FF,,,EE,RR,,RR,AA,,4,15000.0,15000.0,0.0,2000.0,13000.0,9000.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,DD,,,,,0,PS,,,6,HATZFELD,Missing,TORSTENSSON,Missing,Missing
17,0,HD,,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,7.0,7.0,R,M,,D,S,T,$,T,10000.0,10000.0,0.0,700.0,9300.0,5000.0,0.0,0.0,0.0,,0.0,0.0,,0.0,FF,,,,,,BB,PS,,9,11000.0,11000.0,0.0,3500.0,7500.0,5000.0,0.0,0.0,0.0,15.0,0.0,0.0,6.0,0.0,DD,,,,,0,WL,,,3,MERCY,WERTH,TURENNE,Missing,Missing
18,0,PD,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,3.2,3.2,R,M,,D,S,T,S,T,18000.0,18000.0,0.0,7500.0,10500.0,5000.0,0.0,0.0,0.0,,0.0,0.0,4.0,0.0,FF,,,EE,RF,,SS,,,7,16000.0,16000.0,0.0,6000.0,10000.0,5000.0,0.0,0.0,0.0,28.0,0.0,0.0,15.0,0.0,DO,EE,RF,EE,RF,0,WD,,,6,CONDE,Missing,MERCY,WERTH,Missing
19,0,HD,,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.14583333333333,2.0,3.5,R,M,,D,S,T,S,T,14000.0,14000.0,0.0,4000.0,10000.0,5000.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,DE,,,,,,BB,PS,,9,18000.0,18000.0,0.0,10000.0,8000.0,8000.0,0.0,0.0,0.0,38.0,0.0,0.0,38.0,0.0,DO,EE,RF,,,0,WL,,,3,CONDE,Missing,LEOPOLD WILLIAM,Missing,Missing
20,0,HD,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.2,3.2,R,M,,D,S,T,F,T,14300.0,14300.0,0.0,2500.0,11800.0,3500.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,FF,,,,,,BB,,,7,14870.0,14870.0,0.0,2500.0,12370.0,2500.0,0.0,0.0,0.0,15.0,0.0,0.0,7.0,0.0,DO,FF,,,,0,WD,,,4,CHARLES I,Missing,ESSEX,Missing,Missing
21,0,HD,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.8,2.8,R,M,,W,H,T,S,T,27000.0,27000.0,0.0,1500.0,25500.0,9000.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,FF,,,,,,BB,PS,,8,17500.0,17500.0,0.0,6000.0,11500.0,6500.0,0.0,0.0,0.0,16.0,0.0,0.0,16.0,0.0,DO,FF,,,,0,PP,RR,WL,4,MANCHESTER,Missing,RUPERT,Missing,Missing
22,0,HD,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.1,1.1,R,M,,D,S,T,F,T,6800.0,6800.0,0.0,3000.0,3800.0,800.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,FF,,,,,,RR,WL,,3,3000.0,3000.0,0.0,1.0,2999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DO,FF,,,,0,PS,,,9,ELCHO,Missing,MONTROSE,Missing,Missing
23,0,HD,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.7,0.7,R,M,,D,S,T,S,T,4900.0,4900.0,0.0,6.0,4894.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FF,,,,,,BB,PS,,9,6800.0,6800.0,0.0,6000.0,800.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DD,,,,,0,WL,,,2,MONTROSE,Missing,BAILLIE,Missing,Missing
24,1,HD,PD,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.375,2.8,2.0,R,M,,D,S,T,F,T,22000.0,22000.0,0.0,500.0,21500.0,9500.0,0.0,0.0,0.0,,0.0,0.0,,0.0,FF,,,EE,LF,,PP,RR,,5,10000.0,10000.0,0.0,500.0,9500.0,2000.0,0.0,0.0,0.0,,0.0,0.0,,0.0,DD,,,,,0,WD,,,7,MANCHESTER,Missing,CHARLES I,Missing,Missing
25,0,HD,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,1,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.6,1.6,R,M,,D,S,T,S,T,9000.0,9000.0,0.0,6000.0,3000.0,5000.0,0.0,0.0,0.0,12.0,0.0,0.0,12.0,0.0,FF,,,,,,PP,RR,WL,4,13000.0,13000.0,0.0,1000.0,12000.0,6000.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,DO,FF,,,,0,PS,,,9,CHARLES I,Missing,FAIRFAX,Missing,Missing
26,0,HD,,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,,1,1.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.6,R,M,,W,H,T,S,T,9000.0,9000.0,0.0,300.0,8700.0,3000.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,FF,DE,,,,,BB,PS,,9,21000.0,21000.0,0.0,5000.0,16000.0,3600.0,0.0,0.0,0.0,,0.0,0.0,,0.0,DD,,,,,0,WL,,,3,CROMWELL,Missing,HAMILTON,Missing,Missing
27,0,HD,,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8,1,1.0,0.0,0.0,0.0,0.0,1.0,,1.0,1.0,2.0,0.0,0.0,,0.0,1.0,1.8,2.7,R,M,,W,L,T,F,T,11000.0,11000.0,0.0,30.0,10970.0,3500.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,EE,RF,,FF,,,BB,PS,,9,22000.0,22000.0,0.0,13000.0,9000.0,6000.0,0.0,0.0,0.0,30.0,0.0,0.0,30.0,0.0,DD,,,,,0,WL,,,4,CROMWELL,Missing,LESLIE,Missing,Missing
28,1,HD,PD,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,5.6,5.6,R,M,,D,S,T,F,T,28000.0,28000.0,0.0,1000.0,27000.0,9000.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,FF,,,,,,BB,PS,,9,16000.0,16000.0,0.0,9000.0,7000.0,4000.0,0.0,0.0,0.0,,0.0,0.0,,0.0,DO,FF,,,,0,WL,,,4,CROMWELL,Missing,CHARLES II,Missing,Missing
29,1,HD,PD,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.5,1.5,,,U,D,S,H,S,T,12000.0,12000.0,0.0,4000.0,8000.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,FF,,,,,,PP,,,8,6000.0,6000.0,0.0,2000.0,4000.0,,0.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,DD,,,,,0,WD,,,5,TURENNE,Missing,CONDE,Missing,Missing
30,0,HD,,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.1,1,1.0,1.0,1.0,0.0,0.0,0.0,,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,4.4,R,B,D,D,S,T,S,T,15000.0,15000.0,0.0,2000.0,13000.0,6000.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,EE,RF,,FF,,,BB,PS,,8,12000.0,12000.0,0.0,7000.0,5000.0,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DO,FF,,,,0,WL,,,3,TURENNE,Missing,DON JUAN,Missing,Missing
31,0,HD,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.8,4.1,R,M,,D,S,T,S,T,60000.0,60000.0,0.0,8000.0,52000.0,20000.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,FF,,,,,,RR,WD,,4,30000.0,30000.0,0.0,2000.0,28000.0,10000.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,DO,DE,,,,0,,,,9,AHMED KOPRULU,Missing,MONTECUCCOLI,Missing,Missing
32,1,HD,PD,1.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,0.0,1.0,8.8,8.0,R,M,,D,S,T,F,T,76000.0,76000.0,0.0,2000.0,74000.0,34000.0,0.0,0.0,0.0,186.0,0.0,0.0,0.0,0.0,EE,RF,,FF,,,BB,PS,,9,107000.0,107000.0,0.0,10000.0,97000.0,47000.0,0.0,0.0,0.0,500.0,0.0,0.0,370.0,0.0,DD,,,,,0,WD,,,3,LORRAINE,SOBIESKI,KARA MUSTAFA,Missing,Missing
33,0,PD,,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,2.0,,,R,M,,W,L,C,F,T,50000.0,50000.0,0.0,1000.0,49000.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,FF,,,EE,LR,,BB,PS,,8,80000.0,80000.0,0.0,30000.0,50000.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,DD,,,,,0,WL,,,3,SOBIESKI,Missing,HUSSEIN PASHA,Missing,Missing
34,0,HD,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,1,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,1.0,0.0,,0.0,0.0,0.0,2.0,5.0,5.0,R,M,,D,S,T,S,T,9500.0,9500.0,0.0,1500.0,8000.0,6000.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,FF,,,DE,,,PP,,,9,7500.0,7500.0,0.0,2500.0,5000.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DO,FF,,,,0,WD,,,4,TURENNE,Missing,CAPARA,Missing,Missing
35,0,HD,,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.8,1.8,R,M,,D,S,T,S,T,50000.0,50000.0,0.0,10000.0,40000.0,15000.0,0.0,0.0,0.0,,0.0,0.0,,0.0,FF,,,,,,PP,WD,,8,70000.0,70000.0,0.0,14000.0,56000.0,15000.0,0.0,0.0,0.0,,0.0,0.0,4.0,0.0,DD,,,,,0,WD,,,5,CONDE,Missing,ORANGE,Missing,Missing
36,1,HD,PD,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,2,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,,0.0,2.0,5.6,7.0,R,M,,W,H,T,F,T,22000.0,22000.0,0.0,3500.0,18500.0,10000.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,FF,,,,,,PP,WD,,6,31700.0,31700.0,0.0,2500.0,29200.0,14500.0,0.0,0.0,0.0,58.0,0.0,0.0,10.0,0.0,DO,FF,EE,,,0,PP,WD,,6,TURENNE,Missing,BOURNONVILLE,Missing,Missing
37,0,HD,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,,1,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,,,R,M,,D,S,T,W,T,33000.0,33000.0,0.0,1100.0,31900.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,EE,RF,,FF,,,PP,,,9,30000.0,30000.0,0.0,3400.0,26600.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,DD,,,,,0,WD,,,4,TURENNE,Missing,BOURNONVILLE,Missing,Missing
38,0,HD,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.4,2.0,R,M,,D,S,T,S,T,6000.0,6000.0,0.0,500.0,5500.0,6000.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,FF,,,EE,RF,,BB,PS,,9,6400.0,6400.0,0.0,2500.0,3900.0,6400.0,0.0,0.0,0.0,38.0,0.0,0.0,6.0,0.0,DO,FF,,,,0,WD,,,4,FREDERICK WILLIAM,Missing,WRANGEL,Missing,Missing
39,0,HD,,0.0,0.0,0.0,0.0,1.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,1,,,0.0,0.0,0.0,1.0,,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.8,1.2,F,M,,W,L,T,S,T,4000.0,4000.0,0.0,1500.0,2500.0,800.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,FF,,,,,,RR,WL,,2,3000.0,3000.0,0.0,300.0,2700.0,510.0,0.0,0.0,0.0,16.0,0.0,0.0,,0.0,DO,DE,,,,0,BB,PS,,7,MONMOUTH,Missing,FEVERSHAM,Missing,Missing
40,0,HD,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,G,M,,D,S,T,S,T,2800.0,2800.0,0.0,600.0,2200.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FF,,,,,,BB,PS,,8,3400.0,3400.0,0.0,1900.0,1500.0,100.0,0.0,0.0,0.0,,0.0,0.0,,0.0,DD,,,,,0,WL,,,2,DUNDEE,Missing,MACKAY,Missing,Missing
